HospitalName,ZipCode
Mercy Hospital - Bakersfield,93301
Mercy Hospital - Folsom,95630
Mercy Hospital - Mt Shasta,96067
Mercy Medical Center - Merced,95340
Mercy Medical Center - Redding,96001
Mercy San Juan Hospital,95608
Methodist Hospital - Sacramento,95823
Methodist Hospital - Southern California,91007
Mills-Peninsula Medical Center,94010
Mission Community Hospital - Panorama,91402
Mission Regional Medical Center,92691
Modoc Medical Center,96101
Monrovia Memorial Hospital,91016
Montclair Hospital Medical Center,91763
Monterey Park Hospital,91754
Natividad Medical Center,93901
North Bay Medical Center,94533
Northern Inyo Hospital,93514
Northridge Hospital Medical Center,91325
Novato Community Hospital,94945
OConnor Hospital,95128
Ojai Valley Community Hospital,93023
Olympia Medical Center,90036
Orange Coast Memorial Medical Center,92708
Orange County Global Medical Center,92705
Oroville Hospital,95966
PIH Hospital - Downey,90241
Pacifica Hospital of the Valley,91352
Palmdale Regional Medical Center,93551
Palomar Health Downtown Campus,92025
Paradise Valley Hospital,91950
Parkview Community Hospital,92503
Patients Hospital of Redding,96001
Petaluma Valley Hospital,94954
Placentia-Linda Community Hospital,92870
Pomona Valley Hospital Medical Center,91767
Presbyterian Intercommunity Hospital,90602
Providence Holy Cross Medical Center,91345
Providence Little Co. of Mary Med Ctr - San Pedro,90732
Providence Little Co. of Mary Med Ctr - Torrance,90503
Providence St Johns Health Center,90404
Providence St Joseph Medical Center,91505
Providence Tarzana Medical Center,91356
Queen of the Valley - Napa,94558
Radys Childrens Hospital of San Diego,92024
Redlands Community Hospital,92373
Redwood Memorial Hospital,95540
Regional Medical Center of San Jose,95116
Resnick Neuropsychiatric Hosp at UCLA,90095
Rideout Memorial Hospital,95901
Riverside Community Hospital,92501
Riverside University Health System Medical Center,92555
Ronald Reagan UCLA Medical Center,90095
Saddleback Memorial Medical Center,92653
Salinas Valley Memorial Hospital,93901
San Antonio Regional Hospital,91786
San Dimas Community Hospital,91773
San Gabriel Valley Medical Center,91776
San Joaquin General Hospital,95231
San Joaquin Valley Rehab Center,93720
San Leandro Hospital,94578
San Ramon Regional Medical Center,94583
Santa Barbara Cottage Hospital,93105
Santa Clara Valley Medical Center,95128
Santa Monica Hospital - UCLA,90404
Santa Rosa Memorial Hospital,95405
Santa Ynez Valley Cottage Hospital,93463
Scripps Green Hospital,92037
Scripps Memorial Hospital - Encinitas,92024
Scripps Memorial Hospital - La Jolla,92037
Scripps Mercy Hospital,92103
Seneca Healthcare District,96020
Sequoia Hospital,94062
Seton Medical Center,94015
Sharp Chula Vista Medical Center,91911
Sharp Coronado Hospital,92118
Sharp Grossmont Hospital,91942
Sharp Memorial Hospital,92123
Sharp Mesa Vista Hospital,92123
Shasta Regional Medical Center,96001
Sherman Oaks Hospital,91403
Shriners Childrens Hospital - Northern California,95817
Sierra Nevada Memorial Hospital,95945
Sierra View Medical Center,93257
Sierra Vista Hospital,95823
Sierra Vista Regional Medical Center,93405
Sonoma Valley Hospital,95476
South Coast Global Medical Center,92704
Southern California Hospital at Hollywood,90028
Southwest Healthcare System - Murrieta,92595
St Agnes Medical Center,93720
St Bernardine Medical Center,92404
St Elizabeth Community Hospital,96080
St Francis Medical Center - Lynwood,90262
St Francis Memorial Hospital - S.F,94109
St Johns Pleasant Valley Hospital,93010
St Johns Regional Medical Center - Oxnard,93030
St Joseph Hospital - Eureka,95501
St Joseph Hospital - Orange,92868
St Joseph Medical Center - Stockton,95204
St Jude Medical Center,92835
St Louise Regional Hospital,95020
St Mary Medical Center - Apple Valley,92307
St Mary Medical Center - Long Beach,90804
St Marys Medical Center - San Francisco,94117
St Rose Hospital,94545
St Vincent Medical Center,90057
Stanford University Hospital,94305
Stanislaus Surgical Center,95355
Sutter Amador Hospital,95642
Sutter Auburn Faith Hospital,95602
Sutter Center for Psychiatry,95826
Sutter Coast Hospital,95531
Sutter Davis Hospital,95616
Sutter Delta Medical Center,94509
Sutter Lakeside Hospital,95453
Sutter Maternity & Surgery Center,95065
Sutter Medical Center - Sacramento,95816
Sutter Roseville Medical Center,95661
Sutter Santa Rosa Memorial Hospital,95403
Sutter Solano Medical Center,94589
Sutter Surgical Hospital - North Valley,95991
Sutter Tracy Community Memorial Hospital,95376
Tahoe Forest Hospital,96161
Temecula Valley Hospital,92592
Torrance Memorial Medical Center,90505
Tri-City Medical Center,92056
Twin Cities Community Hospital,93465
UCSD Medical Center,92037
UCSF Medical Center,94143
USC Verdugo Hills Hospital,91208
USC-Kenneth Norris Cancer Hospital,90033
Unversity of California Irvine Medical Center,92668
Valley Childrens Hospital,93636
Valley Presbyterian Hospital,91405
Valleycare Medical Center,94588
Ventura County Medical Center,93003
Vibra Rehabilitation Hospital of Rancho Mirage,92270
Victor Valley Global Medical Center,92395
Washington Hospital - Fremont,94538
West Anaheim Medical Center,92804
Whittier Hospital Medical Center,90605
Woodland Memorial Hospital,95695
Zuckerberg San Francisco General Hospital & Trauma Center,94110
