,HospitalName,HospitalPrice_70450,ZipCode
24,San Dimas Community Hospital,5065,91773
25,St Joseph Hospital - Eureka,1653,95501
25,Radys Childrens Hospital of San Diego,2900,92024
25,Queen of the Valley - Napa,1602,94558
25,Hazel Hawkins Memorial Hospital,3961.5,95023
26,Chapman Global Medical Center,2403.69,92869
26,Kaiser Foundation Hospital - Santa Rosa,2500,95403
19,Sutter Medical Center - Sacramento,2674,95816
25,Huntington Beach Hospital,1689,92647
25,Santa Monica Hospital - UCLA,2500,90404
25,St Jude Medical Center,2433,92835
26,Mercy Medical Center - Redding,4071,96001
25,Encino Hospital Medical Center,2817.9,91436
26,Sharp Coronado Hospital,2490,92118
24,Adventist Health Glendale,5195,91206
26,Kaiser Foundation Hospital - South Sacramento,2500,95823
26,Aurora Charter Oak Hospital,,91724
25,Monterey Park Hospital,5881,91754
26,Mercy Hospital - Mt Shasta,1290,96067
25,PIH Hospital - Downey,4575,90241
26,Riverside University Health System Medical Center,4029,92555
19,Sutter Delta Medical Center,3294,94509
27,Foothill Regional Medical Center,3782,92780
995,Kaiser Foundation Hospital - Redwood City,,94063
26,San Joaquin General Hospital,4608,95231
26,Sutter Center for Psychiatry,2674,95826
25,Keck Hospital of USC,3928.3,90033
26,Zuckerberg San Francisco General Hospital & Trauma Center,2979,94110
21,Valley Presbyterian Hospital,2136.5,91405
7003,Shriners Childrens Hospital - Northern California,,95817
26,Los Alamitos Medical Center,4510.35,90720
26,St Francis Medical Center - Lynwood,4109,90262
672,Modoc Medical Center,,96101
26,Salinas Valley Memorial Hospital,4502.2,93901
26,Santa Barbara Cottage Hospital,1873.84,93105
19,Memorial Hospital - Los Banos,2674,93635
26,Palmdale Regional Medical Center,4226,93551
26,Kaiser Foundation Hospital - San Leandro,2500,94577
26,John Muir Behavioral Health,,94520
26,Washington Hospital - Fremont,2142.52,94538
25,Sherman Oaks Hospital,1572,91403
5659,Glendale Memorial Hospital,,91204
26,Mark Twain Medical Center,,95249
26,UCSD Medical Center,2478,92037
26,Good Samaritan Hospital - San Jose,11063,95124
25,Kaiser Foundation Hospital - West L.A,,90034
25,San Gabriel Valley Medical Center,3520,91776
26,Pacifica Hospital of the Valley,915,91352
26,St Vincent Medical Center,3877,90057
19,Sutter Coast Hospital,2674,95531
25,Kaiser Foundation Hospital - Moreno Valley,,92555
1371,College Hospital - Costa Mesa,,92627
26,Palomar Health Downtown Campus,,92025
30,Laguna Honda Hospital,,94116
25,Greater El Monte Community Hospital,3057,91733
23,Chino Valley Medical Center,2947,91710
26,San Antonio Regional Hospital,5781,91786
22,Adventist Health Sonora - Greenley,4039,95370
25,Kaiser Foundation Hospital - Anaheim,,92806
26,Sequoia Hospital,4013,94062
26,Hi Desert Medical Center,4388.77,92252
26,Valley Childrens Hospital,,93636
25,Ronald Reagan UCLA Medical Center,2500,90095
19,Paradise Valley Hospital,2163,91950
25,Whittier Hospital Medical Center,5420,90605
26,Banner Lassen Medical Center,1224,96130
26,Monrovia Memorial Hospital,,91016
25,Torrance Memorial Medical Center,3816,90505
744,Barton Memorial Hospital,4014.59,96150
26,Northridge Hospital Medical Center,6838,91325
26,St Agnes Medical Center,1426,93720
26,Kaweah Delta District Hospital,1739.67,93291
26,Community & Mission Hospital at Huntington Park,4240.47,90255
25,Kaiser Foundation Hospital - Los Angeles,,90027
150,Jerold Phelps Community Hospital,810,95542
542,Dameron Hospital,23,95203
25,St Mary Medical Center - Apple Valley,3342,92307
25,St Joseph Hospital - Orange,3516.5,92868
26,Tahoe Forest Hospital,1691,96161
26,Woodland Memorial Hospital,4604,95695
26,Aurora Vista del Mar Hospital,,93001
8337,Kindred Hospital - Rancho,1950,91730
26,South Coast Global Medical Center,801.24,92704
25,Alvarado Hospital,2999.9,92120
26,Parkview Community Hospital,3423.314819,92503
26,Antelope Valley Hospital,610,93534
26,Loma Linda University Childrens Hospital,5000,92354
5304,Cedars-Sinai Medical Center,,90048
25,Fresno Surgical Hospital,,93710
26,Kaiser Foundation Hospital - Fremont,2500,94538
26,Loma Linda University Medical Center,5000,92354
19,Memorial Hospital - Modesto,2674,95355
24,Adventist Health Lodi Memorial,1106,95240
26,George L Mee Memorial Hospital,4652,93930
26,El Centro Regional Medical Center,3116,92243
32,Alta Bates-Summit Med Ctr-Alta Bates Campus,3294,94705
11530,Riverside Community Hospital,8776.25,92501
26,Fairchild Medical Center,1697.85,96097
26,Patients Hospital of Redding,,96001
25,Kaiser Foundation Hospital - Woodland Hills,,91367
26,Mission Community Hospital - Panorama,3932,91402
26,Barlow Respiratory Hospital,,90026
768,Unversity of California Irvine Medical Center,,92668
26,Providence Tarzana Medical Center,825,91356
19,Sutter Lakeside Hospital,3294,95453
19,Sutter Amador Hospital,2674,95642
26,Providence Holy Cross Medical Center,908,91345
26,Scripps Mercy Hospital,908,92103
26,OConnor Hospital,696,95128
26,St Marys Medical Center - San Francisco,3268,94117
26,Corona Regional Medical Center,4913,92882
26,Chinese Hospital,1968,94133
25,Kaiser Foundation Hospital - Downey,,90242
26,Lakewood Regional Medical Center,5806.8,90712
26,Scripps Memorial Hospital - Encinitas,908,92024
22,Adventist Health Reedley,2684.82,93654
22,Desert Valley Hospital,2947,92395
26,Providence Little Co. of Mary Med Ctr - San Pedro,3140,90732
26,Kaiser Foundation Hospital - Walnut Creek,2500,94596
26,Menlo Park Surgical Hospital,,94025
26,John Muir Medical Center - Concord Campus,1292.25,94520
25,Resnick Neuropsychiatric Hosp at UCLA,2500,90095
26,Coast Plaza Doctors Hospital,4240.47,90650
26,St Elizabeth Community Hospital,3291,96080
26,Redlands Community Hospital,5874,92373
7945,City of Hope Helford Clinical Research Hospital,2791,91010
26,Del Amo Hospital,,90505
21,Mills-Peninsula Medical Center,3294,94010
19,Novato Community Hospital,3294,94945
26,Kaiser Foundation Hospital - South San Francisco,2500,94080
25,Kaiser Foundation Hospital - South Bay,,90710
26,St Mary Medical Center - Long Beach,2457,90804
19,Stanislaus Surgical Center,,95355
9420,Casa Colina Hospital and Centers for Health Care,560,91767
6132,Community Hospital of the Monterey Peninsula,2032,93940
9429,Mercy Hospital - Bakersfield,,93301
19,Adventist Health Hanford,2684.82,93230
25,Saddleback Memorial Medical Center,3491,92653
26,St Joseph Medical Center - Stockton,6025,95204
26,Natividad Medical Center,3911,93901
1405,Marshall Medical Center,,95667
2987,Seton Medical Center,,94015
25,Shasta Regional Medical Center,,96001
26,San Ramon Regional Medical Center,7132.33,94583
26,Scripps Memorial Hospital - La Jolla,908,92037
23,Adventist Health Simi Valley,4231.74,93065
25,Long Beach Memorial Medical Center,3491,90807
25,San Leandro Hospital,3275.342153,94578
26,El Camino Hospital,4548.89,94040
6724,Martin Luther King Jr Community Hospital,,90059
26,Seneca Healthcare District,2847,96020
26,Fountain Valley Regional Hospital,6875.33,92708
26,Providence Little Co. of Mary Med Ctr - Torrance,3140,90503
25,Highland Hospital,3252.665974,94602
26,Kern Valley Hospital,2399.28,93240
26,Providence St Johns Health Center,3007,90404
