,HospitalDirectory,HospitalPrice
26,/Users/ryanripper/Downloads/2019/Healdsburg District Hospital,1231
26,/Users/ryanripper/Downloads/2019/Community Hospital of San Bernardino,3142
15,/Users/ryanripper/Downloads/2019/Adventist Health White Memorial,6758
19,/Users/ryanripper/Downloads/2019/Eden Medical Center,3294
21,/Users/ryanripper/Downloads/2019/Emanate Health Queen of the Valley Hospital,2248.03
22,/Users/ryanripper/Downloads/2019/Emanate Health Queen of the Valley Hospital,2248.03
19,/Users/ryanripper/Downloads/2019/Sutter Davis Hospital,2674
19,/Users/ryanripper/Downloads/2019/Sutter Roseville Medical Center,2674
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - Fresno,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - Fresno,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - Fresno,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - Fresno,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - Fresno,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - Fresno,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - Fresno,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - Fresno,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - Fresno,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - Fresno,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - Fresno,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - Fresno,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - Fresno,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - Fresno,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - Fresno,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - Fresno,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - Fresno,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - Fresno,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - Fresno,2500
