,HospitalName,HospitalPrice_70450,ZipCode,MedIncome,MeanIncome
105,Kindred Hospital - Los Angeles,3724.35,90056,92656,125019
106,St Johns Regional Medical Center - Oxnard,3039.0,93030,73093,86950
107,Presbyterian Intercommunity Hospital,5697.0,90602,55216,76053
108,Methodist Hospital - Sacramento,4604.0,95823,47553,61970
109,Kaiser Foundation Hospital - Oakland-Richmond,2500.0,94611,129576,181251
110,Aurora Las Encinas Hospital,,91107,102850,138128
111,Glendora Commuity Hospital,2047.2,91740,85590,102709
112,Sierra View Medical Center,,93257,43893,62194
113,Sharp Mesa Vista Hospital,,92123,81899,102995
114,Earl & Lorraine Miller Childrens Hospital,3491.0,90806,54437,68969
115,Loma Linda University Behavioral Medical Center,5000.0,92373,78484,110297
116,Hoag Memorial Hospital,1979.0,92658,,
117,Mercy Hospital - Folsom,4604.0,95630,114405,132609
118,Barstow Community Hospital,7163.0,92311,43395,57229
119,Providence St Joseph Medical Center,743.0,91505,87138,112348
120,Lucile Salter Packard Childrens Hospital,5120.0,94304,130227,210839
121,Sutter Santa Rosa Memorial Hospital,3294.0,95403,75954,95621
122,Twin Cities Community Hospital,5838.66,93465,92051,110650
123,Kaiser Foundation Hospital - Fontana-Ontario,,92335,53099,62329
124,Mammoth Hospital,2229.0,93546,62747,87203
125,Childrens Hospital of Orange County,3143.773253,92868,64949,84083
126,Pomona Valley Hospital Medical Center,6984.0,91767,62153,76865
127,Madera Community Hospital,1173.0,93637,56462,72298
128,Emanate Health Foothill Presbyterian Hospital,2248.03,91741,110430,141379
129,West Anaheim Medical Center,1689.0,92804,65786,83809
130,Huntington Memorial Community Hospital,3808.41,91105,131158,175410
131,AHMC Anaheim Regional Medical Center,3627.0,92801,63046,78261
132,Methodist Hospital - Southern California,4014.0,91007,83964,113517
133,Orange County Global Medical Center,2405.65,92705,108786,150753
134,St Rose Hospital,3800.0,94545,91310,112745
135,Memorial Hospital - Gardena,,90247,55561,71599
136,Orange Coast Memorial Medical Center,3491.0,92708,92301,117720
137,San Dimas Community Hospital,5065.0,91773,86201,104790
138,St Joseph Hospital - Eureka,1653.0,95501,44952,68346
139,Radys Childrens Hospital of San Diego,2900.0,92024,116616,166542
140,Queen of the Valley - Napa,1602.0,94558,93052,123939
141,Hazel Hawkins Memorial Hospital,3961.5,95023,86337,104843
142,Chapman Global Medical Center,2403.69,92869,111835,138523
143,Kaiser Foundation Hospital - Santa Rosa,2500.0,95403,75954,95621
144,Sutter Medical Center - Sacramento,2674.0,95816,72270,94952
145,Huntington Beach Hospital,1689.0,92647,87237,107414
146,Santa Monica Hospital - UCLA,2500.0,90404,78542,115409
147,St Jude Medical Center,2433.0,92835,113345,148589
148,Mercy Medical Center - Redding,4071.0,96001,55821,78446
149,Encino Hospital Medical Center,2817.9,91436,174085,244065
150,Sharp Coronado Hospital,2490.0,92118,108967,157746
151,Adventist Health Glendale,5195.0,91206,70141,95022
152,Kaiser Foundation Hospital - South Sacramento,2500.0,95823,47553,61970
153,Aurora Charter Oak Hospital,,91724,82976,103268
154,Monterey Park Hospital,5881.0,91754,63909,87367
155,Mercy Hospital - Mt Shasta,1290.0,96067,47150,72520
156,PIH Hospital - Downey,4575.0,90241,72715,87522
157,Riverside University Health System Medical Center,4029.0,92555,87338,99417
158,Sutter Delta Medical Center,3294.0,94509,64502,79319
159,Foothill Regional Medical Center,3782.0,92780,75378,97175
160,Kaiser Foundation Hospital - Redwood City,,94063,77166,114736
161,San Joaquin General Hospital,4608.0,95231,41935,60726
162,Sutter Center for Psychiatry,2674.0,95826,64241,78234
163,Keck Hospital of USC,3928.3,90033,38266,50344
164,Zuckerberg San Francisco General Hospital & Trauma Center,2979.0,94110,134592,175979
165,Valley Presbyterian Hospital,2136.5,91405,47037,65549
166,Shriners Childrens Hospital - Northern California,,95817,50925,64130
167,Los Alamitos Medical Center,4510.35,90720,106332,136620
168,St Francis Medical Center - Lynwood,4109.0,90262,52313,66975
169,Modoc Medical Center,,96101,44500,51076
170,Salinas Valley Memorial Hospital,4502.2,93901,64678,81944
